subj,std,ori,nrmse,psnr,ssim,hfen
1,0,0,22.80871551021058,52.716656193184534,0.9924711260999691,21.556250473292426
1,0,1,22.48635240051302,55.13058405428311,0.9896961804318597,22.854995151853906
1,0,2,23.854446602513747,54.87196225896044,0.98976707900712,24.032894774701923
1,0,3,22.28054525386091,55.50764602140998,0.9917779824398206,21.95254271244443
1,0,4,21.290481590372366,56.109885442876845,0.9915081939026626,20.785273371419052
1,3,0,29.07706629448391,50.60766102754526,0.9769767549061077,22.481198632588868
1,3,1,29.959750366506242,52.63820049755778,0.9707943148347185,25.810447892379955
1,3,2,30.95184493033518,52.60961835809876,0.9721217007642575,26.58802338503693
1,3,3,32.38155469752905,52.260208393065206,0.9695050694533233,28.29304157489843
1,3,4,32.36090961475773,52.47318073949505,0.9696202162849619,28.924823156972394
1,5,0,37.12537561231188,48.48525563457267,0.9594407210933048,29.89729615639753
1,5,1,39.051799543064995,50.33614327768664,0.9479746884703372,35.2405808496963
1,5,2,39.49857595188002,50.491720411421646,0.9518495792948032,34.91614246237928
1,5,3,41.32907017299917,50.141049625320164,0.9461950068900357,37.24143454529553
1,5,4,41.627372015507774,50.28601526384633,0.9442364008088586,38.14805298207504
1,7,0,42.01961250357899,47.40963189791146,0.9483919050221499,34.13959530551946
1,7,1,42.2140490563712,49.65982409513443,0.9381009744668999,37.74347504601077
1,7,2,42.95557078619158,49.76295929110958,0.9421806598690872,37.983724417812105
1,7,3,44.409439943696974,49.51665639215683,0.9372159330394056,39.771732017477675
1,7,4,44.40204021568395,49.72553663182572,0.9360641283588178,40.28607896686717
1,9,0,45.909438358196965,46.6406331646554,0.9332198227038768,37.8136711521046
1,9,1,44.54006479167846,49.19394741582232,0.932117606740414,39.63758247858193
1,9,2,45.980915544893364,49.171796887202945,0.9416903481519614,40.73153974853688
1,9,3,47.57055488458306,48.91939797167949,0.9283621404279465,43.38343267405058
1,9,4,46.36767712725948,49.34928835511123,0.9342031805896216,42.03398753385608
2,0,0,22.53174192364152,52.988101695846495,0.9899134763260424,18.617789768999863
2,0,1,24.612274823174424,54.487670717922015,0.9848730021207577,21.527401685908913
2,0,2,22.84084192838869,55.272398794393055,0.9885493792132677,20.324205545418003
2,0,3,20.057000791153822,56.893558336028995,0.9921616325558608,18.59876154481913
2,0,4,23.308406539456676,54.784871222509224,0.9851533238551677,19.71131053950565
2,3,0,31.348258121147683,50.119728778642,0.9704731421966598,22.080727631445917
2,3,1,32.94920683256738,51.95380654365608,0.9644660427947497,26.023210460282726
2,3,2,31.380884188465746,52.5133374370705,0.9676303237679856,24.501277791560693
2,3,3,32.93645907003635,52.58534002370329,0.9671237690030678,27.87745832977834
2,3,4,32.9736607407127,51.771779604175954,0.9623837698103098,26.53693053753543
2,5,0,40.89944536630294,47.80964868797794,0.9454056285187667,30.793382117553165
