subj,std,ori,nrmse,psnr,ssim,hfen
1,0,0,25.478370696059443,51.75523971885896,0.9918779889900542,23.747503777595313
1,0,1,23.852363389822674,54.61833596133783,0.9870017371223179,25.318321639475492
1,0,2,23.166029197477485,55.12631718841932,0.9873760157553761,23.006058096038885
1,0,3,21.687662762587724,55.7419072876196,0.9900866846798267,21.000794225548653
1,0,4,21.662267649195027,55.959516799001314,0.9883817874367228,21.103316388987313
1,3,0,31.97042311433475,49.78370508006924,0.9744190856229566,25.967225452495097
1,3,1,31.1098317079811,52.311011069972295,0.9669604596237416,28.28113545825226
1,3,2,31.90452084797467,52.34630464315238,0.9686048683092898,28.041951744519274
1,3,3,31.936456256842966,52.38042783374869,0.9672032683002945,28.029068279701814
1,3,4,33.18745327887681,52.25411660798854,0.9640260353785753,30.554151719414197
1,5,0,39.11547049909239,48.03170158995681,0.9540130520482504,32.358364598208134
1,5,1,38.15869892945001,50.537093136041065,0.9490074645219195,34.75141564267534
1,5,2,39.21845062024805,50.55354053071269,0.9520014941821942,35.087529514524626
1,5,3,39.60176078571965,50.51187239503083,0.9498102513523494,35.572650762088294
1,5,4,41.56751335926471,50.298514247873676,0.9442451169594677,38.5141695903913
1,7,0,43.07819181657924,47.193523445423494,0.9407553517933586,35.578576780935556
1,7,1,41.76557226133929,49.75259557748615,0.9378910589959113,37.88880224200572
1,7,2,42.99360855469045,49.75527121582222,0.9417508023886285,38.68536472390743
1,7,3,43.40135959948958,49.71609562644291,0.938831162320127,39.17608790063798
1,7,4,44.67914404738424,49.6714982603395,0.9346239653538114,41.12805585355251
1,9,0,46.999559170881014,46.43679706975651,0.9280085268254903,39.456666406116334
1,9,1,45.20159790142389,49.0658885523628,0.9272196958832805,41.23786286031774
1,9,2,46.79088491018644,49.02012400278377,0.931649093585107,42.34954008028161
1,9,3,47.73684333688998,48.88908837059049,0.9268322680072903,44.0750255900971
1,9,4,47.44877392486791,49.149095253563154,0.9259657222646377,43.96632556360122
2,0,0,23.642666364012456,52.57006798683367,0.9858501530095571,18.031208133450765
2,0,1,27.271176671452192,53.596628296681416,0.9740006617420434,22.719187577692814
2,0,2,24.437018378379776,54.68567665037007,0.9821990774992178,20.849153116146685
2,0,3,18.53877529568433,57.57725735883003,0.9900059100210163,15.299826127652857
2,0,4,26.01718993970379,53.82991515827249,0.9757709411171175,20.721514705735284
2,3,0,33.530215178275796,49.53527025039093,0.9607801202434142,24.012496632529146
2,3,1,37.15211501811918,50.911034982717574,0.9464401816467793,31.18209344198059
2,3,2,34.28936921162384,51.74345104149542,0.9599479791023436,28.596044107940884
2,3,3,33.75732662410644,52.371517252270095,0.9592460727690412,29.149210876566023
2,3,4,36.46365404563104,50.897919160888996,0.9486019461646655,30.794038419990205
2,5,0,42.165782833321266,47.54479370678957,0.9319236571243542,31.900723280700532
2,5,1,43.794398755154916,49.48233446682753,0.9210936542262209,37.240171964710065
2,5,2,42.041344810653776,49.97310896517256,0.9392388391735569,35.960423211453794
2,5,3,42.13565606812816,50.44588295991531,0.9364318724849041,37.66784863820804
2,5,4,44.22721254723954,49.22133153930134,0.9234883945936897,38.50595900636282
2,7,0,47.43165536592036,46.522631424269974,0.9119651077989537,37.0007628044913
2,7,1,48.6677690535466,48.56587706434062,0.903778265915174,42.31000810941679
2,7,2,47.28739705245548,48.95173278302377,0.9244285911113365,41.56334672117186
2,7,3,47.67234926929185,49.37354708336387,0.9203016360632301,43.71333424287806
2,7,4,48.654247339743215,48.39270773740749,0.9081824485298252,42.58865119417891
2,9,0,52.6401549676377,45.61765387776268,0.892860880787992,42.67525238350596
2,9,1,52.08294575177811,47.976795045245446,0.891915624852852,45.179843608625
2,9,2,51.23245977183092,48.25573680505205,0.9133138147733713,45.657617311795676
2,9,3,51.51361826933577,48.70043706073942,0.9082919751455113,47.48033315753762
2,9,4,52.64265321080711,47.708367513862406,0.8945006974117273,46.525288052458734
3,0,0,24.217657106761674,52.69844143137203,0.990466983908974,20.596268448928193
3,0,1,23.87209111415663,55.131827398763924,0.9865604004547314,22.724900960819035
3,0,2,22.901217532277002,55.4556768721427,0.9845215268927462,21.15181831456676
3,0,3,32.52422528723622,52.241205563742255,0.9662999028212329,28.562304518359444
3,0,4,21.54233310924878,56.17464787262972,0.9878048770058403,20.4529565015107
3,3,0,32.17060663162605,50.231898940705435,0.9717095770284832,23.821524501190666
3,3,1,32.87802312319296,52.35152273536194,0.965200835174407,29.413223767501943
3,3,2,32.02763524444618,52.54235083676729,0.9636397196591645,27.39809476564708
3,3,3,37.537005049719006,50.996152401115594,0.9469118883176679,30.391082057044976
3,3,4,30.420186558959923,53.17726515196235,0.9689193896560612,26.325661791137712
3,5,0,39.8190004268365,48.37927687216832,0.9517920845175054,30.910543890720422
3,5,1,39.06024220353939,50.85493802827736,0.9490048592024533,34.555910101104054
3,5,2,38.424737204094036,50.96063019360831,0.9469424155883935,33.37253705344221
3,5,3,43.57255692446471,49.701083857819135,0.9267521216407768,35.399399401706184
3,5,4,37.383547684427796,51.38689234714221,0.9520162361253462,32.84917492526051
3,7,0,44.59187472534195,47.39596932192187,0.9373331030847812,34.93673535296055
3,7,1,43.035776443263785,50.01304381006622,0.9380677247135141,38.324547012695724
3,7,2,42.02865582733361,50.18193830247638,0.935688466569922,36.288222756135944
3,7,3,47.80424518219806,48.89601547328785,0.9123139672269175,40.11953575223796
3,7,4,41.085109724178956,50.566813591485804,0.941435216899021,36.34405595481828
3,9,0,48.805826840282826,46.61165045277032,0.9240085527623909,39.279972807597574
3,9,1,47.01590823367874,49.244740065776426,0.9269655690782456,42.78951588903893
3,9,2,45.73889468154231,49.44713500618589,0.9245770612068225,40.26849979801689
3,9,3,51.754688565997675,48.206350785583,0.899113333660632,44.818916678578944
3,9,4,44.58604882460385,49.8565228693312,0.9306158590648147,40.249310838309285
4,0,0,21.782431413035628,53.73551140771805,0.9882684907961456,17.244448252520467
4,0,1,22.058358096854757,55.842707462603315,0.9868787777707175,18.194702570703917
4,0,2,24.64822789521453,54.853515879217994,0.9831944154866202,21.908458269954657
4,0,3,23.050264562668367,55.615688181847815,0.9845247997537951,18.203661763317392
4,0,4,20.52328485776809,56.80676261486064,0.9876324965943154,18.03672646680088
4,3,0,31.602281045151777,50.503269891924504,0.963788514439979,22.702596575632267
4,3,1,32.64661717816485,52.437407386326356,0.9638318232946943,27.57665282972518
4,3,2,34.155359137295996,52.020052770269125,0.960320000043296,29.670484271308258
4,3,3,34.83218812537391,52.029591324718325,0.9575437381548015,28.881780325583538
4,3,4,32.059246733317195,52.93263379804657,0.9610970963262663,27.298576493161384
4,5,0,39.743418636931466,48.512334084629664,0.9370693449231876,30.24989123308284
4,5,1,39.16234218895877,50.85679796212371,0.9476868614526275,33.34059919082902
4,5,2,40.65878031448099,50.50614296479286,0.9429565443505818,35.22047769477021
4,5,3,41.94584469410134,50.415427579944385,0.9366690000233724,35.153931959475834
4,5,4,39.061509411019024,51.21671965161543,0.9420339909341208,33.94404625678964
4,7,0,44.92869739242282,47.44716196490009,0.917919035728523,34.97541822634484
4,7,1,43.207915263532506,50.002904867486535,0.9364439580601703,37.112103276520905
4,7,2,44.753414997446725,49.67270628245348,0.9309075320550557,38.85471156950142
4,7,3,47.22213262963572,49.386294537600335,0.9209322069997885,40.993030194009386
4,7,4,43.45986635226462,50.289932347540955,0.928970136544352,38.22099158312349
4,9,0,49.35511782926972,46.630994650976696,0.9005258842211508,39.882455935163364
4,9,1,47.15886730338433,49.24290381194779,0.9253299084508965,41.69997750347008
4,9,2,49.030932382214246,48.879826855548174,0.918317961096884,43.97642843091911
4,9,3,52.78151563438666,48.41956933170968,0.9054434854837525,48.084821263213634
4,9,4,47.33927007704362,49.54726893104283,0.9164437432218107,42.503491903045756
