subj,std,ori,nrmse,psnr,ssim,hfen
1,0,0,24.00399754301408,52.273001287334544,0.9892306088906508,20.53289017327634
1,0,1,22.34440760997561,55.185587400425874,0.9881015277010781,21.553108564081196
1,0,2,23.22286880397823,55.10503180258454,0.9884373391079334,22.209714519883775
1,0,3,21.48047231095612,55.825285789518205,0.9899063406159176,19.81096806831234
1,0,4,21.02245551804352,56.21992630419703,0.989175122838351,19.04312058741409
1,3,0,29.755384199076,50.40736151591733,0.9749212185642998,22.63585533322771
1,3,1,31.156425096986258,52.29801189092843,0.9658105537026963,27.362996014663032
1,3,2,32.9009127233718,52.07919025324334,0.9666370570635663,28.881959897364435
1,3,3,34.189952480164045,51.78819237321456,0.9630665946336958,31.364965931687777
1,3,4,34.31997303550586,51.96265638934612,0.9620551481255217,32.02946455094506
1,5,0,37.39601582744988,48.42216606176895,0.9545958686240524,30.158421713977994
1,5,1,40.816495514005304,49.952250031981634,0.9427738405270009,38.6202215012253
1,5,2,41.82640469858812,49.99433847127385,0.9467122721509648,38.775689373204145
1,5,3,43.018664769017946,49.793023787831345,0.942152273615445,41.05818104726441
1,5,4,44.06204651578982,49.792301856096984,0.938591644807684,43.09167326140139
1,7,0,42.101004378849,47.39282362681588,0.9404419957318417,34.43798500768393
1,7,1,44.65246081795196,49.17205634389546,0.9311648421231414,42.25221760641211
1,7,2,46.43453638450569,49.086526900161246,0.9350198745022554,43.93735470707183
1,7,3,47.504084493560406,48.93154326254711,0.92950283034998,46.1207230743693
1,7,4,47.55384492722046,49.129882404196856,0.9281709752434507,46.31511557949848
1,9,0,46.28968019874302,46.568989152445084,0.9268284462336529,38.37151124433349
1,9,1,47.2537786554466,48.68023345187251,0.9220187284018866,44.181783562392276
1,9,2,48.880013951967626,48.6407227519762,0.927364523531246,45.40739586227164
1,9,3,51.118863681266035,48.29453848990014,0.9199007879772004,49.53103568164542
1,9,4,50.32237129783955,48.63837319245999,0.920359869217637,48.97280892612844
2,0,0,24.868402987251738,52.13103913227425,0.9819460326419369,18.306934158557844
2,0,1,27.519975710189716,53.51774490942202,0.9771359481690938,22.119205690891086
2,0,2,24.989915740492048,54.491345123335854,0.9833161397853534,20.775241243614904
2,0,3,19.52446282264954,57.127296289671214,0.9897759441881872,16.13130226346919
2,0,4,26.54378668991254,53.65586533663256,0.9762718019952764,20.953200832288225
2,3,0,33.31293717800703,49.59173854404976,0.9590452874224284,23.44840683683478
2,3,1,37.61229961293133,50.80410809504699,0.9472414193694124,31.553273792600816
2,3,2,35.33311280480361,51.48300296049769,0.9578820163778325,29.84707038543662
2,3,3,35.16127903076658,52.01758487599473,0.9563078606605392,30.862858233125735
2,3,4,37.730711108373306,50.60122310134334,0.9459757149999884,32.69406904509664
2,5,0,41.94615043244506,47.590154859641025,0.9314314434950769,32.08509691693183
2,5,1,45.35138529385122,49.17889468498647,0.9175088049574527,39.92783010042275
2,5,2,44.35060615690435,49.50864976176689,0.9340592192414754,39.847499659223175
2,5,3,45.65685702050873,49.74875793435145,0.9277801748979722,42.7110386233219
2,5,4,46.6451657248648,48.758990101079675,0.9174547145426887,43.24888202869791
2,7,0,47.75901773368387,46.46288933998481,0.910918351131857,37.839051623724174
2,7,1,50.838831735500946,48.186794594099965,0.899581212133748,45.91893549238777
2,7,2,49.97705471526157,48.471227791728,0.9187217744666856,46.01422616618229
2,7,3,51.49025841418291,48.704376740173444,0.9115394223394384,49.373922162711786
2,7,4,50.89712715743925,48.0012575159862,0.902373955314282,46.87736023963001
2,9,0,52.85307596898201,45.58259170715337,0.8908965152517747,43.12699830163422
2,9,1,52.91008322180997,47.839936941701964,0.8906185508900598,46.32843329108281
2,9,2,52.58640753429407,48.02917090353807,0.910465819706049,47.773152632343724
2,9,3,53.69906484752931,48.33954371545729,0.90337585506553,50.58184242460834
2,9,4,54.010496069817115,47.48555958611078,0.8907951244203037,49.11920307384244
3,0,0,24.475193043350103,52.60656142949638,0.9871196990349115,19.590318830893214
3,0,1,23.877332562422023,55.12992050071765,0.9869639699489235,21.54405541754467
3,0,2,23.649579705370698,55.176379773072924,0.9857351190664855,21.248623162356424
3,0,3,30.70531290522461,52.741074227655524,0.9691339433902371,25.387661344143307
3,0,4,21.868448796941667,56.04414305166419,0.988397559828134,20.8890634279745
3,3,0,32.04124553108257,50.26689614838733,0.971617147314221,23.930846730924767
3,3,1,37.039282941002554,51.31638525862754,0.9622693927340246,36.23229796250862
3,3,2,34.71723754427342,51.84194509232312,0.9611046885531523,31.45007115626777
3,3,3,38.63242594857913,50.74630516063049,0.945308008252836,32.81012544220218
3,3,4,32.696979664797574,52.550349870694426,0.9655526372867057,30.081390157720495
3,5,0,38.76465115206103,48.61236634648802,0.9513667175464207,29.198910610111938
3,5,1,43.06494843311856,50.00715803629461,0.9405199981696057,41.5513196294009
3,5,2,41.68540046694231,50.253168750960114,0.939415120340465,39.22726563253787
3,5,3,44.983112519782644,49.4243547306213,0.9218215869001917,38.09769388767397
3,5,4,40.81029760472061,50.62510737811409,0.9443646632016585,38.62124052838792
3,7,0,43.88932662999536,47.53390559249055,0.936888967529385,34.09546009897828
