subj,std,ori,nrmse,psnr,ssim,hfen
1,0,0,19.442997533072536,54.10340833876031,0.9898372701872998,13.102806600870649
1,0,1,18.102741797531344,57.01407716413323,0.990970647599667,14.699950968998502
1,0,2,18.396652153855044,57.12857324114434,0.991854784173211,13.99517619273721
1,0,3,18.150872597394798,57.288212147988204,0.9924719368519506,13.898157812859804
1,0,4,18.41998432479751,57.36781002293408,0.9923528540985187,13.541231850563454
1,3,0,29.949164896593278,50.350978419873314,0.9724408161758916,23.61025083530296
1,3,1,33.99397688466719,51.54092480973749,0.9605548510425328,31.094877456759267
1,3,2,35.43158375254702,51.43553787091916,0.962662010024321,31.827337573865833
1,3,3,38.64562717078746,50.724155121753796,0.955413884183686,37.02911581005262
1,3,4,38.72341984242695,50.9141210512907,0.9551780053596486,37.86423206710364
1,5,0,40.03466917629142,47.82994787823651,0.953509574390651,34.08410577746304
1,5,1,44.42338337707767,49.21673166018404,0.9338469781445313,42.76475374223576
1,5,2,45.962334461663374,49.17530760148544,0.9383799327634399,43.456510870865436
1,5,3,47.72164576633341,48.891854063259146,0.9321308731502265,46.38218348499819
1,5,4,48.626543049087125,48.93612723121082,0.9298627593517357,48.17526889231234
1,7,0,44.23170874274034,46.96399841625487,0.9425885801569273,37.35290332377318
1,7,1,46.48907084044571,48.82194698121768,0.9253563005725023,43.580756849783604
1,7,2,48.348097244946416,48.73576143680387,0.929665067328339,45.10832647746694
1,7,3,49.12075330122402,48.640861948937896,0.9242821591012661,46.66056772343124
1,7,4,49.8930989073782,48.71278556423108,0.9213052134227501,47.96452622361224
1,9,0,47.48380441051124,46.3477626116602,0.9233777303350214,39.81401681017173
1,9,1,48.18259434979903,48.51116069501326,0.9222750557604404,44.213086396708704
1,9,2,49.81089776084975,48.476861790738354,0.9302337804508031,45.45233944136074
1,9,3,51.23701145336257,48.27448651020025,0.9168567527504896,48.32015383184401
1,9,4,50.61078917666592,48.58873296179777,0.9201135500002261,47.7643785372637
2,0,0,20.79348514581016,53.68545133073164,0.9853662179556559,12.044755487743327
2,0,1,21.496057170427186,55.663529664985674,0.9860579204471231,14.321299920621232
2,0,2,20.17214109264124,56.35160101654262,0.9902628758678543,13.796357844313697
2,0,3,18.614076967178722,57.54204806188808,0.9912988635631682,13.743631058457822
2,0,4,21.516024755671395,55.479882203412096,0.9839685441607962,13.676428331098176
2,3,0,32.8930167626204,49.70192293319171,0.9637966397973128,23.956505920803487
2,3,1,37.22356600071403,50.894346314277286,0.9572227198802595,31.819957289503957
2,3,2,36.48655933030087,51.203982729774424,0.9611828410759811,31.452506750501424
2,3,3,38.320119971360874,51.270340967037775,0.952775225557374,35.51041473875111
2,3,4,38.12539294446945,50.510836339486225,0.9473087853198199,33.94660088994335
2,5,0,43.68799965686068,47.23675385802788,0.9333294206687223,35.3337352213361
2,5,1,47.4779766054344,48.780861792024226,0.9190517075411623,43.07024100831396
2,5,2,48.15158991249239,48.794428326889154,0.9264888870525081,44.97002605148651
2,5,3,50.00721605320643,48.95822461559851,0.9211006663476388,48.605538721672545
2,5,4,49.5807497953015,48.22886110550998,0.9108015844643818,47.2118844827514
2,7,0,48.677661751486426,46.297402888922576,0.9196131631173387,39.689541147654964
2,7,1,50.517475131317866,48.24187310747102,0.9052344264902218,45.389855192094785
2,7,2,51.12848721663266,48.27338209804698,0.9158914691373994,47.05629101397783
2,7,3,52.20704687769202,48.58429561305125,0.9135194648127982,49.57637500078811
2,7,4,51.89711543593427,47.83225852117389,0.9004957917203706,48.24136750570454
2,9,0,53.00860773786542,45.55706910625668,0.8907080587804914,43.58273098230687
2,9,1,52.4646131831788,47.91337633038127,0.8906279244221047,46.268481721024465
2,9,2,52.49841442286039,48.04371722182115,0.9098725818788869,47.56711539719977
2,9,3,54.254134385251554,48.2502213930279,0.9180785879910154,50.77490522544662
2,9,4,54.17894449842503,47.458512110216624,0.893899994684578,49.779711444792476
3,0,0,20.09461901387077,54.31948841649755,0.9914543121968822,12.643555508809436
3,0,1,18.7429945618636,57.23285708313786,0.9910542952492035,12.95743974735372
3,0,2,18.974411221887927,57.08948214098385,0.9889819483965836,13.44646746414384
3,0,3,24.09582934023058,54.846507204366674,0.9812640819320189,17.221267440787567
3,0,4,18.79111010028295,57.36145387148815,0.9911691570604013,14.85946204234281
3,3,0,32.47072230520272,50.15124495686909,0.9782974040027679,25.386052079966642
3,3,1,40.092892533102614,50.628288868755504,0.9543313702831319,39.30278832602818
3,3,2,39.789925228689754,50.65738585154662,0.9537078253451633,38.42727824019008
3,3,3,41.01917684952177,50.22560595810391,0.9467691963214393,37.04024027665315
3,3,4,37.332492210868715,51.39876295159066,0.9590964668569625,36.05939449117303
3,5,0,41.25041372091957,48.0725177742804,0.9547477000300592,34.16055437665836
3,5,1,46.90535102310298,49.2651888583264,0.9312011451578133,45.77602565710762
3,5,2,46.78254349408611,49.25117171178134,0.9298133459130481,45.46220987894426
3,5,3,48.39217999766002,48.78984103906052,0.9175296615424252,44.47890048139504
3,5,4,47.580066126967594,49.292001789011806,0.9310570684877549,47.29787414718126
3,7,0,45.6883052243508,47.184982977440654,0.946401644094585,37.1507662637051
3,7,1,48.7680430243595,48.92693009729909,0.9239236726371824,46.44613396353818
3,7,2,47.980385544601575,49.03157364432501,0.9227022118345418,44.66676862010127
3,7,3,50.44917175276402,48.42826396441441,0.9104227952063224,45.26372054355032
3,7,4,48.55697332940216,49.11547044848653,0.9247807797293299,46.85076461582774
3,9,0,49.555217918105896,46.47929614196351,0.9430439973983616,40.35365078607206
3,9,1,50.365026331890824,48.647055359772494,0.9184707028980936,46.908661195490986
3,9,2,49.823113023517145,48.70423112388728,0.9254184016605945,45.51882792149395
3,9,3,52.943213316719415,48.0091388431737,0.899349897610704,47.18741290239311
3,9,4,49.627523967441824,48.92605045920214,0.9196415686777227,46.89432251343771
4,0,0,20.05937385409431,54.451291061274425,0.9860707816971023,12.1476888387321
4,0,1,20.113416347553837,56.644454246998336,0.9897750132436068,14.087974754555214
