subj,std,ori,nrmse,psnr,ssim,hfen
1,0,0,45.791710014781884,38.14357263175914,0.9383057024330174,43.129548167063675
1,0,1,53.55458031947106,38.785846197623684,0.9305659748395592,53.072102886894626
1,0,2,53.91439980166983,38.72570043158654,0.9235881093135289,54.27802233019956
1,0,3,50.92758551992691,39.21770205297774,0.9321384633495183,49.50602263452309
1,0,4,52.75719501511279,38.92203060707205,0.928908073614754,51.88622444733346
1,3,0,46.61874838581133,37.98809767921453,0.9197430724786022,43.26259573194395
1,3,1,55.355795507322156,38.498516677652454,0.9096703678518736,53.443155656182626
1,3,2,55.68015568200231,38.44578711009256,0.9016741878533087,54.62900447411754
1,3,3,53.44604055689063,38.79845304972781,0.9079161969413452,50.89673336462778
1,3,4,54.43173910289241,38.650620340687006,0.9089654443549984,52.74836306433058
1,5,0,55.409518659842725,36.48762231881503,0.886200273974608,53.86222218268244
1,5,1,62.581232367433536,37.43289638094228,0.8876792586224445,60.972396451470956
1,5,2,62.77766469820361,37.40369280599182,0.8779111690610948,62.06925675145325
1,5,3,60.817490030604304,37.67619393529843,0.8848402670560437,59.0173929081545
1,5,4,61.252454696501204,37.62519459168993,0.8861445214246094,60.25697785488673
1,7,0,56.91637322711828,36.254565496790114,0.8768380324309325,55.20032498520801
1,7,1,63.452172680321304,37.312848654604714,0.8831999845145142,61.758099144404056
1,7,2,63.55739811177904,37.29647372957981,0.8731235281764833,62.79948387825108
1,7,3,61.85364790799854,37.529457430417395,0.879184014979352,59.965462510163725
1,7,4,62.089390265295464,37.507316647505434,0.8815929829756689,61.0475890882081
1,9,0,57.969396147215235,36.095334339248815,0.8690520839746422,56.04756988593053
1,9,1,64.01185031328149,37.236570983769305,0.8795272137616692,62.02537435038932
1,9,2,64.49774238489479,37.168905662222215,0.8688913027340874,63.69030025683641
1,9,3,63.230051884600734,37.33829302404539,0.8738650563985229,61.345612192619484
1,9,4,63.05072155157803,37.37386332709392,0.8775493543090217,62.16493818753472
2,0,0,57.3759967079106,36.16282849976288,0.9292832578868251,55.2053849415614
2,0,1,63.67324436128475,37.26093621200957,0.9241450643890531,63.72660303057891
2,0,2,61.462480048169866,37.56676702290822,0.9261690219222852,61.54223463384917
2,0,3,62.79195103003523,37.38100932915442,0.9272613319595671,62.40530212083748
2,0,4,63.306567593042,37.3130962437856,0.9262406169876827,63.0862782580227
2,3,0,59.28119550380843,35.879094292441664,0.9075671583894128,55.01201592713312
2,3,1,65.48412827873736,37.01735478354523,0.9111270121259332,63.09715707765887
2,3,2,63.57850524244204,37.2727623642413,0.9125881862164777,61.3010320907081
2,3,3,65.43859884914197,37.02240904104312,0.9148924838705265,63.17190961388933
2,3,4,64.62299237429711,37.13433030439801,0.9137767993744931,62.47766197438931
2,5,0,66.62486162296449,34.864706958546485,0.883741060591085,63.07757826588828
2,5,1,71.18826652136026,36.291907440724486,0.8959062346380048,68.20466800332863
2,5,2,70.1064131867926,36.42381366673681,0.8953685665088776,67.87152652355886
2,5,3,72.02201572681878,36.18978343501271,0.8975852050901356,69.84856624357211
2,5,4,70.46056468575202,36.38314920062854,0.8993421065346785,68.47424289296808
2,7,0,67.91238250658215,34.698454025409845,0.8772124742803276,64.38637506098624
2,7,1,71.92884541967048,36.20201401138552,0.8922894899820221,69.19256867586647
2,7,2,71.01405873831186,36.312081928680435,0.891490907920879,68.72208363644012
2,7,3,72.83178414092094,36.09266989911211,0.8940568509632097,70.73082898757434
2,7,4,71.45373028247944,36.26157346218725,0.8963064279864063,69.4470103732792
2,9,0,69.28399114835854,34.5247754082375,0.870655907307321,65.70600388807814
2,9,1,72.62373844071959,36.118503769999826,0.8896107289582611,69.55162973010883
2,9,2,71.61293810465213,36.23913878651423,0.8888390750450849,69.23977529522007
2,9,3,73.76409837232275,35.982188109799885,0.890632133571681,71.63258363665878
2,9,4,72.00697750974912,36.194579952184974,0.8936107070056765,69.57500914045605
3,0,0,48.66142858180602,38.19411620601012,0.9254872536971352,46.71398956285822
3,0,1,56.32580613070809,38.9879762993692,0.9240719551141263,56.11286172623712
3,0,2,51.45526482374496,39.769496953153585,0.9292245651062941,51.873925350844715
3,0,3,54.92120347049164,39.20445026427285,0.9160477673771376,56.30377538050239
3,0,4,56.392839044966955,38.97487546911036,0.9120220782652871,57.457437428562805
3,3,0,48.52616950252863,38.21829308077263,0.9050683739067952,45.84766236218479
3,3,1,58.03364989778872,38.7285269117286,0.8949664993643051,57.40149152774021
3,3,2,54.54086608508392,39.26365270615917,0.8984162310003113,54.646593422320265
3,3,3,56.824961183773745,38.9084682139815,0.8920744175539832,57.36189710630614
3,3,4,57.47960858731903,38.80907861282952,0.8934448688541612,57.96255656405721
3,5,0,56.02525787154058,36.97013601494162,0.8740895388307562,54.917209862428265
3,5,1,62.58479352245182,38.07274814475649,0.8758588236138141,62.02381161139665
3,5,2,60.23860306279174,38.400595467662185,0.8798134676149179,60.601333263847536
3,5,3,62.214814015663265,38.12137502499911,0.8760532094573215,62.47212403820427
3,5,4,63.310686578078325,37.96981418910769,0.8744250184170661,64.29534116126919
3,7,0,57.41759295737516,36.75691365469816,0.8643866947584767,56.21876202405554
3,7,1,63.302178987247885,37.9737514288393,0.872348866185705,62.59547052225369
3,7,2,60.85287878740011,38.31247074017781,0.875844715766874,60.945284118353705
3,7,3,63.212183000630404,37.98323539420934,0.8719795601537235,63.455520488406314
3,7,4,63.73285122749838,37.91208769448599,0.8715927721428767,64.43766185511645
3,9,0,58.70949099373304,36.563646996394105,0.855141019547731,57.36383766614992
3,9,1,63.897700198988616,37.892420073040924,0.869133320741212,63.28890124772497
3,9,2,61.646452233985485,38.19993154921069,0.8716386004666317,61.59161379328986
3,9,3,64.25093511034655,37.841662113004,0.867532217772507,64.49013560259155
3,9,4,63.825050220269155,37.89953135095382,0.8688317348240105,64.26290939753925
4,0,0,51.463444364874825,37.28376476682329,0.9097762170761079,47.227834620068876
4,0,1,53.838920382084446,38.903380064072934,0.9240614323475682,52.6719050622414
4,0,2,55.20832826448464,38.69265704626712,0.9119784107646749,53.626060482041595
4,0,3,52.5120905485658,39.12508821286732,0.9252554347206967,50.59172011775761
4,0,4,53.479106862891946,38.949130953770364,0.9242088515321744,51.187282467710624
4,3,0,52.60434198229,37.09330990699086,0.8872081631505777,47.87787745924504
4,3,1,57.53007844420818,38.32740759022169,0.894989382966346,55.726879029513356
4,3,2,58.46631503078314,38.19463453348073,0.8897380574248672,56.57244893389394
4,3,3,56.891897080069185,38.42926606355377,0.899500137117034,54.970041185289745
4,3,4,57.24826688042146,38.35756699678414,0.8960230301581174,54.99659417764992
4,5,0,59.82709539216855,35.97578338947815,0.8566828568896974,56.81202769789342
4,5,1,63.96540835795225,37.4064033785156,0.8741047584383594,62.73735499036355
4,5,2,64.16506750657484,37.38677586974168,0.8707976078767212,62.268414565889174
4,5,3,62.75833583221618,37.57684600082007,0.8827000085765833,60.82976842596706
4,5,4,62.99644011610867,37.526493697060616,0.877175607629189,61.31665737583876
4,7,0,61.214448054411584,35.7766629964471,0.8478649038560655,58.31742930568689
4,7,1,64.64840549687494,37.31415055805145,0.8705881245900614,63.322755017864274
4,7,2,64.98658834038208,37.276274219695296,0.8676013334996022,62.99481347384081
4,7,3,64.17583847585445,37.38284334647892,0.8769633578676471,62.334827098551045
4,7,4,63.66874843480743,37.434287610052785,0.8734038879131201,61.82871958838585
4,9,0,62.24405982327513,35.6317835273646,0.8399507267155413,59.237484080447835
4,9,1,65.20702748922153,37.2394188538006,0.867365818203593,63.72136536512614
4,9,2,65.70534429819985,37.180735072889405,0.8636721131522587,63.59117282115536
4,9,3,65.57432676006339,37.19559756852195,0.8712919689949103,63.813242277598604
4,9,4,64.6438539772291,37.3022690550698,0.8688597412412229,62.652926282169695
